Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
RS01SLBS,,2017-02-15T14:43:06Z,2017-02-15T17:16:00Z,"On Wednesday, February 15, power to the North and South cable lines of the Cabled Array was interrupted and all deployed infrastructure went offline.  Power was restored on February 16. No hardware issue subsea was identified.",NOT_OPERATIONAL,11998,,friedrich,
RS01SLBS,,2017-01-09T18:32:00Z,2017-01-09T21:30:00Z,Lightning strike in Pacific City led to data interruption through isolation of both cable lines from shore station equipment.,NOT_OPERATIONAL,11776,,friedrich,
RS01SLBS,,2017-02-07T13:00:00Z,2017-02-07T15:00:00Z,Outage during PNWGP 1-hour router-maintenance,,,Verify against data,friedrich,
RS01SLBS,,2017-01-08T19:58:00Z,2017-01-08T21:41:00Z,Network outage during major Seattle utility power failure,,,Verify against data,friedrich,
RS01SLBS,,2016-12-22T01:50:00Z,2016-12-23T12:44:00Z,Fiber break in Portland due to train crash,,,Verify against data,friedrich,
RS01SLBS,,2016-12-17T18:00:00Z,2016-12-17T19:00:00Z,Corvalis data center lost power,,,Verify against data,friedrich,
RS01SLBS,,2016-07-12T02:53:00Z,2016-07-12T03:51:00Z,Unexplained loss of power at Pittock Building in Portland,,,Verify against data,friedrich,
RS01SLBS,,2016-05-20T16:33:00Z,2016-05-20T18:04:00Z,Fiber break between Portland and Pacific City,,,Verify against data,friedrich,
RS01SLBS,,2016-03-10T23:06:00Z,2016-03-11T09:30:00Z,Fiber break between Portland and Seattle,,,Verify against data,friedrich,
RS01SLBS,,2016-01-07T06:10:00Z,2016-01-07T06:52:00Z,Four 1-minute outages between Portland and Seattle due to maintenance,,,Verify against data,friedrich,
RS01SLBS,,2015-08-29T00:00:00Z,2015-08-29T00:30:00Z,Outage during major utility power failure in Seattle,,,Verify against data,friedrich,
RS01SLBS,,2015-06-13T00:00:00Z,2015-06-15T16:30:00Z,Network issues due to fire that damaged fibers between Portland and Seattle,,,Verify against data,friedrich,
RS01SLBS,,2015-03-21T14:10:00Z,2015-03-22T04:20:00Z,PNWGP outage due to City of Seattle fiber cable work,,,Verify against data,friedrich,
RS01SLBS,,2015-01-31T00:00:00Z,2015-02-04T00:00:00Z,Intermittent partial data loss due to storage drive problems at OTB,,,Verify against data,friedrich,
RS01SLBS,,2015-01-07T07:32:00Z,2015-01-07T08:06:00Z,PNWGP Portland <-> Seattle outage,,,Verify against data,friedrich,
RS01SLBS,,2014-12-07T19:45:00Z,2014-12-16T00:00:00Z,"PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",,,Verify against data,friedrich,
RS01SLBS-MJ01A-12-VEL3DB101,,,,,,8648,Need to transpose information from redmine ticket to parameter level annotation csv,,
