Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
temp,D00001,2015-02-18T21:15:07Z,2015-06-11T00:00:08Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-08-14T00:00:00Z
pressure,D00001,2015-02-18T21:15:07Z,2015-06-11T00:00:08Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-08-14T00:00:00Z
density,D00001,2015-02-18T21:15:07Z,2015-06-11T00:00:08Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,lori,2017-08-14T00:00:00Z
density,D00001,2015-02-18T21:15:07Z,2015-06-11T00:00:08Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
practical_salinity,D00001,2015-02-18T21:15:07Z,2015-06-11T00:00:08Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,lori,2017-08-14T00:00:00Z
conductivity,D00001,2015-02-18T21:15:07Z,2015-06-11T00:00:08Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-08-14T00:00:00Z
conductivity,D00001,2015-02-18T21:15:07Z,2015-06-11T00:00:08Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
temp,D00002,2015-12-14T20:20:06Z,2016-12-11T23:59:58Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-08-14T00:00:00Z
pressure,D00002,2015-12-14T20:20:06Z,2016-12-11T23:59:58Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-08-14T00:00:00Z
density,D00002,2015-12-14T20:20:06Z,2016-12-11T23:59:58Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,lori,2017-08-14T00:00:00Z
density,D00002,2015-12-14T20:20:06Z,2016-12-11T23:59:58Z,applies to one file,Spike QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
density,D00002,2015-12-14T20:20:06Z,2016-12-11T23:59:58Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
practical_salinity,D00002,2015-12-14T20:20:06Z,2016-12-11T23:59:58Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,lori,2017-08-14T00:00:00Z
practical_salinity,D00002,2015-12-14T20:20:06Z,2016-12-11T23:59:58Z,applies to one file,Spike QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
conductivity,D00002,2015-12-14T20:20:06Z,2016-12-11T23:59:58Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-08-14T00:00:00Z
conductivity,D00002,2015-12-14T20:20:06Z,2016-12-11T23:59:58Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
