Level,Deployment,StartTime,EndTime,Notes,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
dofst_k_wfp_instrument_recovered,D00001,2013-11-23T23:16:00Z,2013-11-24T01:30:03Z,0 days 02:14:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
dofst_k_wfp_instrument_recovered,D00001,2014-04-11T22:37:56Z,2014-04-12T00:00:00Z,0 days 01:22:04,,,check: difference between deploy end date and data file end date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00001,2013-11-23T23:16:00Z,2013-11-24T01:30:03Z,0 days 02:14:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00001,2014-04-11T22:37:56Z,2014-04-12T00:00:00Z,0 days 01:22:04,,,check: difference between deploy end date and data file end date,Leila,2017-05-17T00:00:00Z
dofst_k_wfp_instrument_recovered,D00002,2014-04-12T16:42:00Z,2014-04-12T18:00:03Z,0 days 01:18:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
dofst_k_wfp_instrument_recovered,D00002,2014-10-08T22:37:02Z,2014-10-09T00:00:00Z,0 days 01:22:58,,,check: difference between deploy end date and data file end date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00002,2014-04-12T16:42:00Z,2014-04-12T18:00:03Z,0 days 01:18:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00002,2014-10-08T22:37:02Z,2014-10-09T00:00:00Z,0 days 01:22:58,,,check: difference between deploy end date and data file end date,Leila,2017-05-17T00:00:00Z
dofst_k_wfp_instrument_recovered,D00003,2014-10-09T18:26:00Z,2014-10-09T22:00:03Z,0 days 03:34:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00003,2014-10-09T18:26:00Z,2014-10-09T22:00:03Z,0 days 03:34:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
dofst_k_wfp_instrument_recovered,D00005,2015-05-03T13:45:00Z,2015-05-03T15:00:03Z,0 days 01:15:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
dofst_k_wfp_instrument_recovered,D00005,2015-10-16T12:07:58Z,2015-10-16T12:36:00Z,0 days 00:28:02,,,check: difference between deploy end date and data file end date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00005,2015-05-03T13:45:00Z,2015-05-03T15:00:03Z,0 days 01:15:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered,D00005,2015-10-16T12:07:58Z,2015-10-16T12:36:00Z,0 days 00:28:02,,,check: difference between deploy end date and data file end date,Leila,2017-05-17T00:00:00Z
