Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
temperature,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-17T00:00:00Z
ctdmo_seawater_temperature,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-08-17T00:00:00Z
density,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,lori,2017-08-17T00:00:00Z
practical_salinity,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,lori,2017-08-17T00:00:00Z
pressure,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-17T00:00:00Z
inductive_id,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,lori,2017-08-17T00:00:00Z
inductive_id,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-17T00:00:00Z
ctdmo_seawater_pressure,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,2017-08-17T00:00:00Z
ctdmo_seawater_pressure,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-08-17T00:00:00Z
ctdmo_seawater_conductivity,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-08-17T00:00:00Z
ctdmo_seawater_conductivity,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-17T00:00:00Z
conductivity,D00001,2015-03-21T04:00:01Z,2015-07-15T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-17T00:00:00Z
temperature,D00002,2015-11-22T00:00:01Z,2015-12-08T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-17T00:00:00Z
ctdmo_seawater_temperature,D00002,2015-11-22T00:00:01Z,2015-12-08T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-08-17T00:00:00Z
density,D00002,2015-11-22T00:00:01Z,2015-12-08T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,lori,2017-08-17T00:00:00Z
practical_salinity,D00002,2015-11-22T00:00:01Z,2015-12-08T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,lori,2017-08-17T00:00:00Z
pressure,D00002,2015-11-22T00:00:01Z,2015-12-08T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-17T00:00:00Z
inductive_id,D00002,2015-11-22T00:00:01Z,2015-12-08T00:00:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,lori,2017-08-17T00:00:00Z
inductive_id,D00002,2015-11-22T00:00:01Z,2015-12-08T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-17T00:00:00Z
ctdmo_seawater_pressure,D00002,2015-11-22T00:00:01Z,2015-12-08T00:00:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,2017-08-17T00:00:00Z
ctdmo_seawater_pressure,D00002,2015-11-22T00:00:01Z,2015-12-08T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-08-17T00:00:00Z
ctdmo_seawater_conductivity,D00002,2015-11-22T00:00:01Z,2015-12-08T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-08-17T00:00:00Z
conductivity,D00002,2015-11-22T00:00:01Z,2015-12-08T00:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-17T00:00:00Z
