Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,friedrich,2017-05-11T00:00:00Z
practical_salinity,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,friedrich,2017-05-11T00:00:00Z
practical_salinity,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Global Range QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
practical_salinity,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Spike QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
practical_salinity,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
temp,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,friedrich,2017-05-11T00:00:00Z
temp,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,friedrich,2017-05-11T00:00:00Z
temp,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Global Range QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
temp,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Spike QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
temp,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
density,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,friedrich,2017-05-11T00:00:00Z
density,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,friedrich,2017-05-11T00:00:00Z
density,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Global Range QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
density,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Spike QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
density,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
pressure,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,friedrich,2017-05-11T00:00:00Z
pressure,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,friedrich,2017-05-11T00:00:00Z
pressure,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Global Range QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
pressure,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Spike QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
pressure,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
conductivity,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,friedrich,2017-05-11T00:00:00Z
conductivity,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,friedrich,2017-05-11T00:00:00Z
conductivity,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Global Range QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
conductivity,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Spike QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
conductivity,D00001,2015-04-15T17:31:09Z,2015-04-17T04:31:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
