Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
temperature,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
density,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
ctdbp_seawater_conductivity,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-26T00:00:00Z
ctdbp_seawater_conductivity,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
ctdbp_seawater_pressure,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-04-26T00:00:00Z
pressure,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-04-26T00:00:00Z
pressure,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,applies to one file,Global Range QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
pressure_temp,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
ctdbp_seawater_temperature,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-04-26T00:00:00Z
conductivity,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-26T00:00:00Z
conductivity,D00001,2014-04-17T22:00:01Z,2014-08-16T22:20:01Z,applies to one file,Global Range QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
practical_salinity,D00002,2014-10-10T17:50:01Z,2015-04-12T00:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
temperature,D00002,2014-10-10T17:50:01Z,2015-04-12T00:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
density,D00002,2014-10-10T17:50:01Z,2015-04-12T00:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
ctdbp_seawater_conductivity,D00002,2014-10-10T17:50:01Z,2015-04-12T00:20:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-26T00:00:00Z
