Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2014-09-10T18:52:31Z,2014-09-18T14:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
temperature,D00001,2014-09-10T18:52:31Z,2014-09-18T14:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
density,D00001,2014-09-10T18:52:31Z,2014-09-18T14:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
ctdmo_seawater_temperature,D00001,2014-09-10T18:52:31Z,2014-09-18T14:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-05-11T00:00:00Z
ctdmo_seawater_pressure,D00001,2014-09-10T18:52:31Z,2014-09-18T14:15:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,2017-05-11T00:00:00Z
ctdmo_seawater_pressure,D00001,2014-09-10T18:52:31Z,2014-09-18T14:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-05-11T00:00:00Z
pressure,D00001,2014-09-10T18:52:31Z,2014-09-18T14:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
ctdmo_seawater_conductivity,D00001,2014-09-10T18:52:31Z,2014-09-18T14:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-05-11T00:00:00Z
ctdmo_seawater_conductivity,D00001,2014-09-10T18:52:31Z,2014-09-18T14:15:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-05-11T00:00:00Z
conductivity,D00001,2014-09-10T18:52:31Z,2014-09-18T14:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
practical_salinity,D00002,2015-08-15T19:22:31Z,2016-07-18T23:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
temperature,D00002,2015-08-15T19:22:31Z,2016-07-18T23:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
density,D00002,2015-08-15T19:22:31Z,2016-07-18T23:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
ctdmo_seawater_temperature,D00002,2015-08-15T19:22:31Z,2016-07-18T23:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-05-11T00:00:00Z
ctdmo_seawater_pressure,D00002,2015-08-15T19:22:31Z,2016-07-18T23:52:31Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,2017-05-11T00:00:00Z
ctdmo_seawater_pressure,D00002,2015-08-15T19:22:31Z,2016-07-18T23:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-05-11T00:00:00Z
pressure,D00002,2015-08-15T19:22:31Z,2016-07-18T23:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
ctdmo_seawater_conductivity,D00002,2015-08-15T19:22:31Z,2016-07-18T23:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-05-11T00:00:00Z
ctdmo_seawater_conductivity,D00002,2015-08-15T19:22:31Z,2016-07-18T23:52:31Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-05-11T00:00:00Z
conductivity,D00002,2015-08-15T19:22:31Z,2016-07-18T23:52:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
practical_salinity,D00003,2016-07-19T08:22:31Z,2017-04-09T13:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
temperature,D00003,2016-07-19T08:22:31Z,2017-04-09T13:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
density,D00003,2016-07-19T08:22:31Z,2017-04-09T13:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
ctdmo_seawater_temperature,D00003,2016-07-19T08:22:31Z,2017-04-09T13:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-05-11T00:00:00Z
ctdmo_seawater_temperature,D00003,2016-07-19T08:22:31Z,2017-04-09T13:15:01Z,applies to one file,Spike QC Test,,check: test triggered,lori,2017-05-11T00:00:00Z
ctdmo_seawater_pressure,D00003,2016-07-19T08:22:31Z,2017-04-09T13:15:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,2017-05-11T00:00:00Z
ctdmo_seawater_pressure,D00003,2016-07-19T08:22:31Z,2017-04-09T13:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-05-11T00:00:00Z
pressure,D00003,2016-07-19T08:22:31Z,2017-04-09T13:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
ctdmo_seawater_conductivity,D00003,2016-07-19T08:22:31Z,2017-04-09T13:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-05-11T00:00:00Z
ctdmo_seawater_conductivity,D00003,2016-07-19T08:22:31Z,2017-04-09T13:15:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-05-11T00:00:00Z
conductivity,D00003,2016-07-19T08:22:31Z,2017-04-09T13:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-11T00:00:00Z
